,summary,Energiewende,Verkehrswende,Geo_Engineering,Oekologie,Tipping_Points,Klimawandel,Landwirtschaft,Gesundheit,Wasserversorgung,Waermewende,Industrie,Klimaextreme,Urbane_Hitzeinsel,word
operativ+e arbeit,4.8960919598803345,0.2743821905913699,0.0,0.0,-0.4232112778852881,-0.3784437321902884,-0.5174509929933403,-0.4260273970997514,-0.4251716970816046,-0.4233570293757546,-0.1653386467828405,-0.4383972149718444,-0.42380486142661317,0.0,operativ+e arbeit
motiviert,4.987234812323726,0.2826929603324624,0.0,0.0,-0.4416555605373322,-0.3968880148423327,-0.5358952756453844,-0.4444716797517955,-0.44361597973364875,-0.4418013120277989,-0.18378292943488458,-0.45684149762388865,-0.44224914407865734,0.0,motiviert
arbeit motivier+t,4.987234812323726,0.2826929603324624,0.0,0.0,-0.4416555605373322,-0.3968880148423327,-0.5358952756453844,-0.4444716797517955,-0.44361597973364875,-0.4418013120277989,-0.18378292943488458,-0.45684149762388865,-0.44224914407865734,0.0,arbeit motivier+t
motivier+t meist+en,5.2795657003853576,0.3070121859167297,0.0,0.0,-0.4986177908166112,-0.45385024512161165,-0.5928575059246637,-0.5014339100310746,-0.5005782100129278,-0.49876354230707776,-0.24074515971416374,-0.5138037279031674,-0.4992113743579365,0.0,motivier+t meist+en
SpotMyEnergy,7.066142433927935,0.4056209303956415,0.0,0.0,-0.7900886565763325,-0.7453211108813329,-0.8843283716843848,-0.7929047757907959,-0.7920490757726489,-0.7902344080667991,-0.532216025473885,-0.8052745936628889,-0.7906822401176576,0.0,SpotMyEnergy
meist+en spotmyenergy,5.470682266271705,0.3212299250517655,0.0,0.0,-0.5341772876039466,-0.489409741908947,-0.628417002711999,-0.5369934068184098,-0.536137706800263,-0.5343230390944131,-0.276304656501499,-0.549363224690503,-0.5347708711452716,0.0,meist+en spotmyenergy
spotmyenergy setz+t,5.833647200951964,0.3452047128527271,0.0,0.0,-0.598416346887712,-0.5536488011927122,-0.6926560619957641,-0.6012324661021751,-0.6003767660840282,-0.5985620983781784,-0.3405437157852643,-0.6136022839742682,-0.5990099304290369,0.0,spotmyenergy setz+t
setz+t smart,6.227913442673857,0.367556909095134,0.0,0.0,-0.6638153059780585,-0.6190477602830587,-0.7580550210861107,-0.6666314251925217,-0.6657757251743749,-0.6639610574685252,-0.4059426748756109,-0.6790012430646147,-0.6644088895193836,0.0,setz+t smart
meter schlüssel,7.333343585590245,0.41568109767974754,0.0,0.0,-0.8272055129206202,-0.7824379672256208,-0.9214452280286727,-0.8300216321350835,-0.8291659321169367,-0.8273512644110868,-0.5693328818181728,-0.8423914500071765,-0.8277990964619454,0.0,meter schlüssel
interview sprech+t,6.607686302997773,0.3861799409276184,0.0,0.0,-0.7230075129815567,-0.6782399672865571,-0.817247228089609,-0.72582363219602,-0.7249679321778733,-0.7231532644720233,-0.4651348818791093,-0.7381934500681131,-0.7236010965228818,0.0,interview sprech+t
